ID,Remark,Date,Price
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irt,2023-08-05T08:31:40.619Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irt,2023-08-05T08:32:30.304Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irt,2023-08-05T08:32:47.078Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irt,2023-08-05T08:35:13.670Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irt050,2023-08-05T08:35:20.155Z,151200
0a3bc420-04ed-4361-9562-4d4a04ec3e1b,irt040,2023-08-05T08:35:20.155Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irt051,2023-08-05T08:35:20.155Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irk066,2023-08-05T09:37:59.417Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,ira047,2023-08-05T09:38:17.766Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irt,2023-08-05T10:06:49.681Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irz,2023-08-05T12:43:46.215Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,ira,2023-08-05T12:44:01.711Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,iry,2023-08-05T12:44:40.746Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,iry,2023-08-05T12:44:42.651Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irw,2023-08-05T12:45:02.459Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,iru,2023-08-05T12:45:42.561Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irs,2023-08-05T12:46:04.453Z,151200
0a3bc4e0-04ed-4361-9562-4d4a04ec3e1b,irp,2023-08-05T12:46:11.624Z,151200
